scenario_id,anomaly_count,unique_rule_violations,affected_cells,final_result,recommended_action,priority_score,priority,escalation_status,response_deadline
S10,736,6,4,FAIL,EMERGENCY_HALT,150,URGENT,PENDING_REVIEW,T+2시간
S3,749,4,4,FAIL,NOC_ESCALATION,150,URGENT,PENDING_REVIEW,T+2시간
S8,800,8,4,FAIL,EMERGENCY_HALT,150,URGENT,PENDING_REVIEW,T+2시간
S4,464,1,3,FAIL,FIELD_INSPECTION,120,URGENT,PENDING_REVIEW,T+2시간
S5,9,4,4,FAIL,NOC_ESCALATION,109,URGENT,PENDING_REVIEW,T+2시간
S6,50,1,2,FAIL,CELL_SHUTDOWN,100,URGENT,PENDING_REVIEW,T+2시간
S7,47,4,3,PASS_WITH_WARNING,ENHANCED_MONITORING,97,URGENT,PENDING_REVIEW,T+2시간
S2,52,3,2,PASS_WITH_WARNING,ENHANCED_MONITORING,80,URGENT,PENDING_REVIEW,T+2시간
S9,72,5,1,PASS_WITH_WARNING,ENHANCED_MONITORING,80,URGENT,PENDING_REVIEW,T+2시간
